WORD,PLURAL,NOUN_CLASS,DESCRIPTION,POS,PAGE-COLUMN,FULL_ENTRY
a,,,"interjection de négation, de dénégation: non",interj.,P1-C1,"a, (inv.), interjection de négation, de dénégation: non. Peut être prononcée à bouche entrouverte ou à bouche fermée. Dans ce dernier cas, ele est souvent redoublée en a a, le second étant prononcé légèrement plus haut."
umwaba,imy-,34,surface de terre arable dans le marais,n.,P1-C1,"umwaba, imy-, 34, surface de terre arable dans le marais., Mw-irima ry'imyaba, durant la culfure des mârais."
akāba,,12|13,lopin de terre arable. Drain dans les champs de marais,n.,P1-C1,"akāba, utw-, 12|13, lopin de terre arable. Drain dans les champs de marais. Akāba n'umugazo barekérwa mu bw'îmfûnzo, dans le terrain défriché, parmi les papyrus on dégage un drain appelé akāba. ,"
kwâba,-âvye,,"crier vers; avoir recours à, recourir à",v.,P1-C1,"kwâba, -âvye, crier vers; avoir recours à, recourir à. Hăgira ikibâye gishikíye umuryango băca bágenda kwâba umupfúmu, si un malhetr frappait la famille, ils allaient aussitôt consulter le devin."
kwabāba,-vye,,tendre la main pour prendre en se dressant sur la poinie des pieds,v.,P1-C1,"kwabāba, -vye, (-ab--), tendre la main pour prendre en se dressant sur la poinie des pieds. li Commencer à ramper (enfant). Syn. kwavūra. | Etre presque égal, approcher de près. Uwăbāba vice-président, lieutenant. Aramwabāba mu kuvûka, ils ont presque le même âge."
kwâbagira,-ye,,beugler sans cesse,v.,P1-C1,"kwâbagira, -ye, (cfr -âb-), beugler sans cesse. || Pleurnicher. || Chercher qan en l'appelant souvent; appeler à cor et à cri."
umwâbagirano,imy-,3|4,"beuglement, appels du bétail au pâturage",,P1-C1,"umwâbagirano, imy-, 3|4, (cfr -âbagir-), beuglement, appels du bétail au pâturage."
urwăbagiza,,11,philtre amouYEUX,,P1-C1,"urwăbagiza, 11, (cfr -âbagiz-), philtre amouYEUX,"
kwâbagiza,-je,,forcer à parler,v.,P1-C1,"kwâbagiza, -je, (cfr -ââbagir-), tnportuner en le forçant à parler. || Manæœuvrer pour, en vue de. Umugóre yāmaaa amwâbagiza mu kuja bujé, sa femme se rend souvent chez elle pour gwil aille la rechercher."
kwââbagizwa,-jwee,,se dévouer en faveur de,v.,P1-C1,"kwââbagizwa, -jwee, (cfr -ââbagiz-), se dévouer en faveur de qan. Yabagizwa nûûkó wūmerérwa nêzá, il se dévoue pour que tu sois heureuse."
kwabira,-riye,,prendre,v.,P1-C1,"kwabira, -riye, (-ab--), prendre. Kwabīira prendre femme, se marier. Syn. kurongora. Prov. 234, 1195, 1227, (applicatif : 2065)."
kwâbira,-yee,,"beugler, bêler",v.,P1-C1,"kwâbira, -yee, (cfr -âb-), beugler, bêler. || Chanter mal et très fort, hurler. Syn. kumoka. || Appeler gan grossièrement, brailler, vociférer, Bag 371, 718, 957, 1307, 1523, 1574, (causatif ;"
kwiyabira,-ye,,se plaindre de douleurs,v.,P1-C1,"kwiyabira, -ye, (cfr -âbir-), gémir, se plaindre de douleurs. Syn. kuborōga. Kwîyabira umugôngo, umutwé, avoir mal au dos, à la tête, Kwâma wiyabira, être un malade imaginaire."
inyawïyabira,bānyáwīïyabira,9lal2a,"femme qui a habitude de gémir, hypocondre",n.,P1-C1,"inyawïyabira, bānyáwīïyabira, 9lal2a, (cfr -iyabir)-, femme qui a habitude de gémir, hypocondre. Syn. nyawririra. Inyawlyabira iri munzu, la dolente est dans la hutte. Bānyáwīlyabira bari mu-nzu, les hypocondriaques sont à l'intérieur,"
bābīirahamwé,,,,v.,P1-C2,"bābīirahamwé, v. -mwé,"
kwabīrana,-nye,,"convoler, se marier",v.,P1-C2,"kwabīrana, -nye, (cfr -abīr-), convoler, se marier. Syn. kurongorana. Barabâna, barābirana, ils cohabitent et s'épousent. TROUWBORST Í6Í."
kwâbirira,-ye,,"Désirer, aspirer à Yabirira",v.,P1-C2,"kwâbirira, -ye, (cfr -âbir), beugler pour, à. || Désirer, aspirer à Yabirira itûnga, il convyoite les richesses. || Préférer."
